DCD168,CS3_7subregions
9,MOK
19,MOK
40,MOK
44,MOK
54,MOK
56,MOK
63,MOK
64,MOK
80,MOK
81,MOK
95,MOK
100,MOK
101,MOK
115,MOK
117,MOK
119,MOK
152,MOK
154,MOK
1,OMR
2,OMR
4,OMR
15,OMR
18,OMR
31,OMR
33,OMR
34,OMR
41,OMR
49,OMR
53,OMR
57,OMR
60,OMR
61,OMR
65,OMR
66,OMR
69,OMR
70,OMR
74,OMR
76,OMR
79,OMR
82,OMR
84,OMR
85,OMR
86,OMR
90,OMR
91,OMR
102,OMR
103,OMR
107,OMR
113,OMR
128,OMR
132,OMR
137,OMR
156,OMR
5,SAC_NORTH
6,SAC_NORTH
24,SAC_NORTH
26,SAC_NORTH
27,SAC_NORTH
28,SAC_NORTH
30,SAC_NORTH
35,SAC_NORTH
38,SAC_NORTH
93,SAC_NORTH
97,SAC_NORTH
146,SAC_NORTH
147,SAC_NORTH
148,SAC_NORTH
3,SAC_SOUTH
7,SAC_SOUTH
10,SAC_SOUTH
13,SAC_SOUTH
14,SAC_SOUTH
16,SAC_SOUTH
17,SAC_SOUTH
20,SAC_SOUTH
21,SAC_SOUTH
22,SAC_SOUTH
23,SAC_SOUTH
39,SAC_SOUTH
46,SAC_SOUTH
68,SAC_SOUTH
72,SAC_SOUTH
73,SAC_SOUTH
77,SAC_SOUTH
78,SAC_SOUTH
83,SAC_SOUTH
87,SAC_SOUTH
88,SAC_SOUTH
89,SAC_SOUTH
94,SAC_SOUTH
96,SAC_SOUTH
99,SAC_SOUTH
121,SAC_SOUTH
122,SAC_SOUTH
124,SAC_SOUTH
125,SAC_SOUTH
126,SAC_SOUTH
127,SAC_SOUTH
144,SAC_SOUTH
145,SAC_SOUTH
159,SAC_SOUTH
160,SAC_SOUTH
161,SAC_SOUTH
162,SAC_SOUTH
163,SAC_SOUTH
164,SAC_SOUTH
8,SAC_WEST
42,SAC_WEST
92,SAC_WEST
98,SAC_WEST
123,SAC_WEST
141,SAC_WEST
158,SAC_WEST
11,SJR_EAST
12,SJR_EAST
25,SJR_EAST
36,SJR_EAST
43,SJR_EAST
45,SJR_EAST
58,SJR_EAST
75,SJR_EAST
105,SJR_EAST
106,SJR_EAST
108,SJR_EAST
114,SJR_EAST
116,SJR_EAST
120,SJR_EAST
143,SJR_EAST
149,SJR_EAST
150,SJR_EAST
151,SJR_EAST
153,SJR_EAST
155,SJR_EAST
157,SJR_EAST
29,SJR_WEST
32,SJR_WEST
37,SJR_WEST
47,SJR_WEST
48,SJR_WEST
50,SJR_WEST
51,SJR_WEST
52,SJR_WEST
55,SJR_WEST
59,SJR_WEST
62,SJR_WEST
67,SJR_WEST
71,SJR_WEST
104,SJR_WEST
109,SJR_WEST
110,SJR_WEST
111,SJR_WEST
112,SJR_WEST
118,SJR_WEST
129,SJR_WEST
130,SJR_WEST
131,SJR_WEST
133,SJR_WEST
134,SJR_WEST
135,SJR_WEST
136,SJR_WEST
138,SJR_WEST
139,SJR_WEST
140,SJR_WEST
142,SJR_WEST
165,SJR_WEST
166,SJR_WEST
167,SJR_WEST
168,SJR_WEST
BBID,50_PA2
