DCD,CALSIM3
1,OMR
3,OMR
5,OMR
6,OMR
7,OMR
8,OMR
9,SJR_EAST
10,SJR_EAST
11,SJR_EAST
12,SJR_EAST
13,SJR_EAST
14,SJR_EAST
15,SJR_EAST
16,SJR_EAST
18,SJR_EAST
19,SJR_EAST
20,SJR_EAST
21,SJR_EAST
22,SJR_EAST
23,SJR_EAST
24,SJR_EAST
25,SJR_EAST
26,SJR_WEST
29,SJR_WEST
30,SJR_WEST
32,SJR_WEST
35,SJR_WEST
38,SJR_WEST
39,SJR_WEST
40,SJR_WEST
41,SJR_WEST
42,SJR_WEST
43,SJR_WEST
44,SJR_WEST
45,SAC_WEST
46,SAC_WEST
47,SAC_WEST
48,OMR
49,OMR
50,OMR
51,OMR
52,OMR
53,OMR
54,OMR
55,OMR
56,OMR
58,OMR
59,OMR
60,OMR
61,OMR
62,OMR
63,OMR
64,OMR
65,OMR
66,OMR
67,OMR
68,OMR
69,OMR
70,OMR
71,OMR
72,OMR
73,OMR
74,OMR
75,OMR
77,OMR
78,OMR
79,OMR
80,OMR
81,OMR
82,OMR
84,OMR
85,OMR
86,OMR
89,OMR
91,OMR
92,OMR
93,SJR_WEST
98,SJR_WEST
100,SJR_WEST
104,OMR
105,OMR
106,OMR
107,OMR
108,OMR
109,OMR
110,OMR
111,OMR
112,OMR
113,OMR
114,OMR
115,OMR
116,OMR
117,OMR
118,OMR
119,OMR
121,OMR
122,SJR_WEST
124,SJR_WEST
125,SJR_WEST
126,SJR_WEST
127,SJR_WEST
128,SJR_WEST
130,SJR_WEST
133,SJR_WEST
135,SJR_WEST
136,SJR_WEST
137,SJR_WEST
138,SJR_EAST
139,SJR_EAST
140,SJR_WEST
141,SJR_WEST
142,SJR_WEST
143,SJR_WEST
144,SJR_WEST
145,SJR_WEST
146,SJR_WEST
147,SJR_WEST
148,SJR_WEST
149,OMR
150,OMR
151,OMR
152,OMR
153,OMR
155,OMR
156,OMR
158,OMR
159,OMR
162,OMR
163,OMR
164,OMR
165,OMR
167,OMR
168,OMR
169,OMR
170,OMR
171,OMR
172,OMR
173,OMR
174,OMR
175,OMR
176,OMR
177,OMR
178,OMR
179,OMR
182,OMR
183,OMR
187,OMR
188,OMR
189,OMR
190,OMR
191,OMR
192,OMR
194,OMR
195,OMR
196,SJR_WEST
197,SJR_WEST
198,SJR_WEST
199,SJR_WEST
200,SJR_WEST
201,SJR_WEST
202,SJR_WEST
203,SJR_WEST
204,SJR_WEST
205,SJR_WEST
206,SJR_WEST
209,OMR
210,OMR
211,OMR
212,OMR
213,OMR
215,SJR_WEST
216,SJR_WEST
219,SJR_WEST
222,SJR_WEST
223,SJR_WEST
224,SJR_WEST
226,SJR_WEST
232,SJR_WEST
240,SAC_WEST
241,SJR_EAST
242,MOK
243,MOK
245,MOK
246,MOK
247,MOK
250,MOK
251,MOK
253,MOK
255,MOK
256,MOK
257,MOK
260,MOK
262,MOK
264,MOK
266,MOK
268,MOK
269,MOK
271,MOK
274,MOK
276,MOK
278,MOK
280,MOK
282,MOK
284,MOK
286,MOK
288,SAC_SOUTH
290,SAC_SOUTH
292,SAC_SOUTH
294,SAC_SOUTH
296,SAC_SOUTH
297,SAC_SOUTH
298,SAC_SOUTH
299,SAC_SOUTH
301,SAC_SOUTH
302,SAC_SOUTH
303,SAC_SOUTH
304,SAC_SOUTH
305,SAC_SOUTH
306,SAC_SOUTH
307,SAC_SOUTH
308,SAC_SOUTH
310,SAC_SOUTH
311,SAC_SOUTH
312,SAC_SOUTH
314,SAC_SOUTH
315,SAC_SOUTH
316,SAC_SOUTH
317,SAC_SOUTH
318,SAC_SOUTH
319,SAC_SOUTH
320,SAC_SOUTH
321,SAC_SOUTH
326,SAC_SOUTH
330,SAC_NORTH
331,SAC_NORTH
332,SAC_NORTH
333,SAC_NORTH
334,SAC_NORTH
335,SAC_NORTH
336,SAC_NORTH
337,SAC_NORTH
338,SAC_SOUTH
339,SAC_SOUTH
340,SAC_SOUTH
341,SAC_SOUTH
342,SAC_SOUTH
343,SAC_SOUTH
344,SAC_SOUTH
346,SAC_SOUTH
347,SAC_SOUTH
348,SAC_SOUTH
350,SAC_SOUTH
351,SAC_WEST
352,SAC_WEST
353,SAC_WEST
354,SAC_WEST
355,SAC_WEST
BBID,50_PA2
