NEW_SUB	May	 Jun	Jul	     Aug	  Sep	 Oct
1	 33.58	19.29	2.35	13.89	69.65	32.33
2	 38.84	22.31	2.72	16.07	80.58	37.40
3	 47.89	27.51	3.35	19.81	99.34	46.11
5	 13.91	7.99	0.97	5.75	28.85	13.39
6	 16.85	9.68	1.18	6.97	34.96	16.23
7	 10.04	5.77	0.70	4.16	20.84	9.67
8	 29.63	17.02	2.07	12.26	61.46	28.53
9	 28.08	16.13	1.96	11.62	58.26	27.04
10	 7.42	4.26	0.52	3.07	15.40	7.15
11	 4.15	2.38	0.29	1.72	8.60	3.99
12	 8.32	4.78	0.58	3.44	17.25	8.01
13	 5.36	3.08	0.37	2.22	11.12	5.16
14	 33.94	19.49	2.37	14.04	70.40	32.67
15	 33.95	19.50	2.37	14.05	70.43	32.69
16	 15.92	9.15	1.11	6.59	33.03	15.33
18	 21.55	12.38	1.51	8.91	44.70	20.75
19	 31.73	18.23	2.22	13.13	65.83	30.55
20	 26.11	15.00	1.83	10.80	54.17	25.14
21	 1.44	0.83	0.10	0.60	2.99	1.39
22	 7.29	4.19	0.51	3.02	15.13	7.02
23	 25.33	14.55	1.77	10.48	52.54	24.39
24	 9.96	5.72	0.70	4.12	20.67	9.59
25	 32.03	18.40	2.24	13.25	66.45	30.84
26	 4.57	2.62	0.32	1.89	9.47	4.40
27	 0.32	0.18	0.02	0.13	0.67	0.31
28	 1.11	0.64	0.08	0.46	2.31	1.07
29	 18.93	10.88	1.32	7.83	39.28	18.23
30	 3.81	2.19	0.27	1.58	7.91	3.67
31	 20.38	11.71	1.43	8.43	42.28	19.62
32	 9.48	5.44	0.66	3.92	19.66	9.13
33	 18.47	10.61	1.29	7.64	38.31	17.78
34	 10.92	6.27	0.76	4.52	22.66	10.52
35	 6.37	3.66	0.45	2.63	13.21	6.13
37	 10.12	5.81	0.71	4.19	20.99	9.74
38	 33.86	19.45	2.37	14.01	70.25	32.60
39	 74.16	42.60	5.19	30.68	153.84	71.40
40	 19.11	10.98	1.34	7.91	39.65	18.40
42	 10.47	6.01	0.73	4.33	21.72	10.08
43	 2.94	1.69	0.21	1.22	6.10	2.83
46	 7.09	4.07	0.50	2.93	14.71	6.83
47	 4.55	2.62	0.32	1.88	9.45	4.39
48	 12.46	7.16	0.87	5.15	25.84	11.99
49	 6.56	3.77	0.46	2.71	13.60	6.31
50	 12.22	7.02	0.85	5.05	25.34	11.76
51	 15.61	8.97	1.09	6.46	32.39	15.03
52	 20.73	11.91	1.45	8.58	43.00	19.96
53	 18.52	10.64	1.30	7.66	38.41	17.83
54	 13.91	7.99	0.97	5.75	28.85	13.39
55	 10.31	5.92	0.72	4.27	21.39	9.93
56	 14.37	8.25	1.01	5.94	29.81	13.84
57	 7.39	4.25	0.52	3.06	15.34	7.12
58	 20.55	11.80	1.44	8.50	42.63	19.78
59	 16.97	9.75	1.19	7.02	35.20	16.34
60	 19.11	10.98	1.34	7.91	39.65	18.40
61	 22.50	12.93	1.57	9.31	46.68	21.67
62	 4.38	2.51	0.31	1.81	9.08	4.21
63	 6.68	3.83	0.47	2.76	13.85	6.43
64	 10.39	5.97	0.73	4.30	21.56	10.01
65	 14.42	8.28	1.01	5.96	29.91	13.88
67	 6.21	3.57	0.43	2.57	12.88	5.98
68	 21.37	12.27	1.49	8.84	44.32	20.57
69	 12.27	7.05	0.86	5.08	25.45	11.81
71	 4.29	2.47	0.30	1.78	8.91	4.14
72	 21.61	12.41	1.51	8.94	44.83	20.81
74	 5.24	3.01	0.37	2.17	10.88	5.05
75	 3.87	2.22	0.27	1.60	8.03	3.73
78	 7.84	4.50	0.55	3.24	16.26	7.55
80	 8.74	5.02	0.61	3.61	18.12	8.41
82	 2.13	1.22	0.15	0.88	4.42	2.05
83	 13.05	7.50	0.91	5.40	27.08	12.57
87	 10.06	5.78	0.70	4.16	20.86	9.68
90	 1.49	0.85	0.10	0.62	3.08	1.43
92	 40.63	23.34	2.84	16.81	84.28	39.12
94	 1.70	0.98	0.12	0.70	3.53	1.64
