part_b,part_a,part_f,ext
11,Stockton,SJR_EAST,ex1
12,Stockton,SJR_EAST,ex1
24,Sacramento,SAC_NORTH,ex1
25,Stockton,SJR_EAST,ex1
33,BBID,OMR,ex1
34,BBID,OMR,ex1
36,Stockton,SJR_EAST,ex1
38,West Sac,SAC_NORTH,ex1
41,BantaCarbona,OMR,ex1
43,Stockton,SJR_EAST,ex1
45,Stockton,SJR_EAST,ex1
63,Stockton,MOK,ex1
66,Tracy,OMR,ex1
75,Stockton,SJR_EAST,ex1
79,BantaCarbona,OMR,ex1
103,BantaCarbona,OMR,ex1
105,Stockton,SJR_EAST,ex1
106,Stockton,SJR_EAST,ex1
108,Stockton,SJR_EAST,ex1
116,Stockton,SJR_EAST,ex1
120,Stockton,SJR_EAST,ex1
125,Sacramento,SAC_SOUTH,ex1
128,BBID,OMR,ex1
130,BBID,SJR_WEST,ex1
143,Stockton,SJR_EAST,ex1
147,Sacramento,SAC_NORTH,ex1
148,Sacramento,SAC_NORTH,ex1
149,Stockton,SJR_EAST,ex1
150,Stockton,SJR_EAST,ex1
151,Stockton,SJR_EAST,ex1
153,Stockton,SJR_EAST,ex1
155,Stockton,SJR_EAST,ex1
157,Stockton,SJR_EAST,ex1
41,BBID,OMR,ex2
103,BBID,OMR,ex2
148,West Sac,SAC_NORTH,ex2
41,Tracy,OMR,ex3
103,Tracy,OMR,ex3
