DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,465,446,334,310,46,0,227,402,0,375,0,127,2717,52,95
1923,BN,478,446,337,310,46,0,227,402,0,383,5,126,2689,52,95
1924,C,485,446,339,316,46,0,235,406,0,393,10,126,2648,52,94
1925,D,491,446,344,319,46,0,251,410,0,404,15,126,2599,52,94
1926,D,504,446,348,325,46,0,251,414,0,417,20,125,2554,52,94
1927,W,511,446,351,328,48,0,259,418,0,424,25,125,2516,52,94
1928,AN,518,446,355,331,48,0,267,421,0,438,30,125,2473,52,94
1929,C,531,446,360,337,48,0,274,421,0,448,35,124,2426,52,93
1930,D,531,451,369,339,53,0,274,410,0,448,35,124,2416,52,93
1931,C,531,453,379,342,59,0,274,398,0,448,35,124,2407,52,93
1932,D,531,458,388,345,64,0,274,379,0,448,35,124,2404,52,93
1933,C,531,462,395,348,70,0,274,364,0,448,35,124,2398,52,93
1934,C,531,465,407,354,75,0,274,349,0,448,30,124,2394,52,93
1935,BN,531,469,416,357,78,0,274,333,0,448,30,124,2389,52,93
1936,BN,531,472,423,360,84,0,274,322,0,448,30,124,2382,52,93
1937,BN,531,476,435,363,91,0,274,303,0,448,30,124,2375,52,93
1938,W,531,479,444,366,95,0,274,287,0,448,30,124,2371,52,93
1939,D,544,521,458,366,92,0,274,283,16,448,30,124,2294,52,93
1940,AN,558,563,472,369,89,0,274,276,32,448,30,123,2218,52,92
1941,W,571,605,489,372,86,0,274,272,50,448,30,122,2133,52,92
1942,W,584,648,505,375,83,0,274,268,66,448,30,122,2050,52,91
1943,W,597,692,519,378,80,0,274,260,79,448,35,121,1970,52,90
1944,D,611,734,535,381,76,0,274,257,95,448,35,120,1887,52,90
1945,BN,624,777,552,384,75,0,274,253,116,448,35,119,1799,52,89
1946,BN,637,819,566,387,72,0,274,249,126,448,35,118,1724,52,89
1947,D,651,861,582,390,68,0,274,241,145,448,35,117,1643,52,88
1948,BN,664,903,601,393,65,0,274,237,163,448,35,116,1557,52,87
1949,D,757,903,615,478,65,0,274,215,218,445,30,111,1349,52,83
1950,BN,850,903,629,561,65,0,274,195,271,443,30,105,1139,52,78
1951,AN,850,901,627,561,65,0,274,195,271,443,30,105,1143,53,78
1952,W,850,899,624,561,65,0,274,195,271,443,30,105,1147,53,78
1953,W,850,899,622,558,65,0,274,195,271,443,30,105,1152,54,79
1954,AN,850,896,620,558,65,0,274,195,268,443,30,105,1159,54,79
1955,D,850,894,617,555,65,0,274,195,268,443,30,125,1113,52,114
1956,W,850,894,599,555,72,0,259,218,276,445,30,125,1107,53,114
1957,AN,850,894,578,552,76,0,243,241,289,448,25,125,1108,54,114
1958,W,850,896,556,552,83,0,227,260,303,451,20,125,1106,54,114
1959,BN,850,896,533,549,89,0,227,287,316,456,15,124,1085,55,113
1960,D,850,899,512,549,97,0,220,314,326,461,15,124,1061,56,113
1961,D,850,899,489,546,105,0,212,337,339,466,15,123,1046,57,112
1962,BN,876,880,484,570,108,0,212,329,347,466,15,122,1019,57,111
1963,W,903,880,477,632,116,0,212,318,350,469,15,119,942,57,108
1964,D,929,859,477,647,121,0,212,310,363,469,15,117,915,57,106
1965,W,956,842,472,658,126,0,212,306,366,472,15,115,895,57,105
1966,BN,982,817,468,673,127,0,212,303,374,474,15,113,879,57,103
1967,W,1009,814,468,679,132,0,212,299,376,474,15,111,849,57,101
1968,BN,1036,786,468,685,137,0,212,295,381,474,15,110,841,57,100
1969,W,1062,772,463,703,140,51,149,291,389,474,15,108,823,57,99
1970,W,1089,758,458,720,145,85,24,291,397,477,15,109,873,57,99
1971,W,1115,742,454,738,151,88,24,287,405,480,15,107,845,49,97
1972,BN,1142,727,449,759,158,91,24,283,413,482,15,104,807,48,95
1973,AN,1168,713,444,776,164,142,24,280,421,485,15,100,737,35,92
1974,W,1188,688,440,797,170,326,24,280,429,485,10,92,581,4,84
1975,W,1248,612,388,912,234,344,24,249,429,427,15,87,542,6,79
1976,C,1301,542,334,1024,298,363,31,211,429,372,15,83,511,7,76
1977,C,1301,526,442,986,218,378,24,215,476,367,15,82,489,5,74
1978,AN,1354,507,327,1157,186,393,39,218,458,362,15,75,430,6,68
1979,BN,1367,512,309,1151,191,402,47,207,437,362,15,76,445,8,69
1980,AN,1361,486,339,1042,200,438,63,222,410,369,25,79,482,8,72
1981,D,1417,462,332,1089,208,496,86,222,408,372,30,65,342,8,59
1982,W,1473,441,325,1234,135,381,102,226,421,375,30,62,328,8,56
1983,W,1481,425,351,900,146,311,55,119,413,369,30,92,811,8,84
1984,W,1490,408,376,1069,186,369,94,222,400,364,35,71,439,8,65
1985,D,1498,397,402,942,185,468,78,215,395,356,35,73,477,8,67
1986,W,1491,387,435,750,143,490,63,218,374,348,35,86,689,8,79
1987,D,1488,371,470,626,169,490,55,211,368,341,35,91,791,8,83
1988,C,1489,361,507,593,162,505,71,207,363,333,35,91,788,8,83
1989,D,1501,338,512,676,129,641,63,203,389,338,35,82,607,8,74
1990,C,1513,312,517,726,121,641,55,199,408,341,35,79,570,8,72
1991,C,1571,312,517,726,121,641,55,199,408,341,35,74,522,8,68
1992,C,1628,312,517,726,121,641,55,199,408,341,35,69,475,8,63
1993,AN,1685,339,517,776,156,493,55,180,410,307,40,69,498,8,63
1994,C,1742,312,517,726,121,641,55,199,408,341,35,58,381,8,53
1995,W,1789,401,510,1339,55,262,0,31,351,330,54,55,362,8,50
1996,W,1836,361,472,1267,27,382,0,54,339,290,84,55,372,8,50
1997,W,1883,368,524,1456,28,282,0,33,294,301,93,41,247,8,38
1998,W,1931,382,536,1308,21,226,0,32,308,292,124,49,334,8,45
1999,W,1977,411,518,1293,23,316,38,174,397,275,101,10,45,8,9
2000,AN,2025,389,461,1258,25,267,59,158,403,278,139,18,92,8,16
2001,D,2072,334,487,1260,0,347,46,161,321,282,149,18,95,8,16
2002,D,2119,334,487,1260,0,347,46,161,321,282,149,11,60,8,10
2003,AN,2166,387,459,1253,25,266,59,157,401,277,138,0,0,8,0
2004,BN,1838,0,646,1073,0,249,0,29,64,3,1070,0,735,0,106 
2005,AN,1838,0,646,1073,0,249,0,29,64,3,1070,0,735,0,106 
2006,W,1838,0,646,1073,0,249,0,29,64,3,1070,0,735,0,106 
2007,D,1838,0,646,1073,0,249,0,29,64,3,1070,0,735,0,106 
2008,C,1844,36,698,922,0,181,0,29,64,2,1071,0,747,0,106
2009,D,1850,72,750,772,0,114,0,29,64,2,1072,0,760,0,106
2010,BN,1850,72,750,772,0,114,0,29,64,2,1072,0,760,0,106
2011,W,1850,72,750,772,0,114,0,29,64,2,1072,0,760,0,106
2012,BN,1861,8,531,611,0,27,0,206,201,2,1077,12,956,0,98
2013,D,1861,8,531,611,0,27,0,206,201,2,1077,12,956,0,98
2014,C,1861,8,531,611,0,27,0,206,201,2,1077,12,956,0,98
2015,C,1861,8,531,611,0,27,0,206,201,2,1077,12,956,0,98
2016,W,1861,8,531,611,0,27,0,206,201,2,1077,12,956,0,98
