DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,3,4,22,60,8,49,0,92,0,13,0,38,188,0,149
1923,BN,3,5,21,60,9,46,0,81,0,13,0,35,213,0,138
1924,C,3,1,25,52,10,58,0,74,0,13,0,34,219,0,135
1925,D,3,5,21,50,8,53,0,73,0,10,0,31,245,0,125
1926,D,3,4,21,62,4,49,0,78,0,14,0,34,224,0,133
1927,W,3,3,21,61,7,48,0,75,0,14,0,33,231,0,130
1928,AN,3,6,21,64,7,45,0,81,0,13,0,35,211,0,139
1929,C,3,3,22,60,10,48,0,86,0,12,0,36,204,0,142
1930,D,3,7,21,68,11,46,0,94,0,12,0,42,152,0,167
1931,C,3,12,21,65,15,41,0,89,0,9,0,39,174,0,156
1932,D,3,12,22,62,15,43,0,89,0,8,0,39,178,0,154
1933,C,3,12,22,59,15,45,0,89,0,8,0,38,181,0,152
1934,C,3,12,23,55,16,48,0,88,0,7,0,38,185,0,151
1935,BN,3,12,23,52,16,50,0,88,0,7,0,37,189,0,149
1936,BN,3,12,24,48,16,52,0,87,0,6,0,37,192,0,147
1937,BN,3,12,24,45,17,54,0,87,0,5,0,37,195,0,146
1938,W,3,12,25,41,17,56,0,87,0,5,0,36,197,0,145
1939,D,3,13,25,40,17,58,0,87,0,5,0,37,195,0,146
1940,AN,3,14,25,39,16,60,0,86,0,5,0,37,192,0,147
1941,W,3,15,24,38,16,62,0,86,0,5,0,37,189,0,149
1942,W,3,16,24,37,16,64,0,86,0,5,0,38,187,0,150
1943,W,3,17,24,36,15,66,0,86,0,5,0,38,184,0,151
1944,D,3,18,24,35,15,67,0,86,0,5,0,38,182,0,152
1945,BN,3,19,23,34,15,69,0,86,5,5,0,40,166,0,160
1946,BN,3,20,23,32,14,71,0,86,7,5,0,42,156,0,165
1947,D,3,22,23,31,14,73,0,86,9,4,0,43,145,0,171
1948,BN,3,23,23,30,14,75,0,86,12,4,0,45,133,0,178
1949,D,3,22,23,34,14,71,0,84,13,4,0,45,133,0,178
1950,BN,3,22,24,38,14,68,0,83,14,4,0,45,131,0,179
1951,AN,3,22,25,42,14,64,0,81,15,4,0,45,130,0,180
1952,W,3,22,25,46,14,61,0,79,16,4,0,46,127,0,181
1953,W,3,22,26,50,14,57,0,78,17,4,0,46,125,0,182
1954,AN,3,22,27,54,14,54,0,76,18,4,0,46,124,0,183
1955,D,3,22,27,58,14,50,0,74,19,4,0,46,121,0,184
1956,W,3,21,27,61,14,49,0,73,19,4,0,46,121,0,185
1957,AN,3,20,27,63,15,48,0,72,19,4,0,47,120,0,185
1958,W,3,20,27,66,15,47,0,71,19,5,0,47,118,0,186
1959,BN,3,19,27,69,15,47,0,69,20,5,0,47,118,0,186
1960,D,3,18,27,71,16,46,0,68,20,5,0,47,117,0,187
1961,D,3,17,27,74,16,47,0,67,20,5,0,49,106,0,193
1962,BN,3,17,27,75,15,49,0,64,20,5,0,48,110,0,191
1963,W,4,17,27,77,15,50,0,61,20,6,0,48,113,0,189
1964,D,4,17,27,78,14,51,0,58,19,6,0,47,115,0,188
1965,W,4,17,27,79,14,53,0,55,19,6,0,47,117,0,187
1966,BN,4,17,27,81,13,54,0,52,19,6,0,47,119,0,186
1967,W,4,17,27,82,13,56,0,49,19,6,0,46,121,0,185
1968,BN,4,17,27,84,12,57,0,46,18,6,0,46,124,0,183
1969,W,4,17,27,85,11,59,0,43,18,6,1,46,126,0,182
1970,W,4,17,27,86,11,60,0,40,18,7,1,46,127,0,182
1971,W,5,17,27,88,10,61,0,37,18,7,1,46,128,0,181
1972,BN,5,17,26,89,10,61,0,34,17,7,2,45,133,0,179
1973,AN,5,17,26,91,9,63,0,31,17,7,2,45,133,0,179
1974,W,5,17,26,92,9,64,0,28,17,7,3,45,124,0,187
1975,W,6,16,25,98,10,61,0,24,16,7,3,43,130,0,185
1976,C,6,15,23,104,12,58,0,20,16,7,3,43,134,0,183
1977,C,6,16,28,97,8,66,0,18,19,7,3,44,121,0,190
1978,AN,7,15,23,105,8,65,0,21,19,7,3,46,111,0,197
1979,BN,7,15,21,106,8,63,0,20,18,7,3,44,122,0,190
1980,AN,7,16,22,99,9,56,0,20,18,7,4,40,156,0,172
1981,D,7,15,22,99,10,65,0,21,18,7,4,44,126,0,188
1982,W,7,15,21,110,6,48,0,21,18,8,4,39,158,0,171
1983,W,7,14,22,87,7,41,0,6,17,8,4,29,257,0,126
1984,W,8,13,24,101,10,47,0,23,17,8,4,39,165,0,168
1985,D,8,13,25,88,11,52,0,23,16,8,5,37,180,0,160
1986,W,8,13,26,72,10,54,0,23,16,8,5,33,214,0,144
1987,D,8,13,28,67,12,55,0,23,15,8,5,33,216,0,143
1988,C,8,13,29,65,13,57,0,24,16,8,5,34,208,0,147
1989,D,8,12,29,69,11,66,0,24,18,8,6,38,173,0,163
1990,C,8,12,29,76,11,67,0,24,18,8,6,41,147,0,178
1991,C,8,12,29,76,11,67,0,24,18,8,6,41,145,0,178
1992,C,9,12,29,76,11,67,0,24,18,8,6,41,144,0,179
1993,AN,9,12,29,77,12,58,0,22,17,8,5,37,177,0,162
1994,C,9,12,29,76,11,67,0,24,18,8,6,42,141,0,181
1995,W,9,14,29,116,4,23,0,29,20,8,8,42,142,0,181
1996,W,9,9,29,114,2,33,0,24,21,7,13,43,134,0,185
1997,W,9,13,29,122,2,24,0,21,19,7,17,44,129,0,188
1998,W,10,16,32,114,1,17,0,24,21,7,19,42,138,0,183
1999,W,10,18,32,110,2,27,0,23,19,7,18,45,119,0,194
2000,AN,10,16,30,106,2,25,0,22,18,8,23,42,140,0,183
2001,D,10,14,33,102,0,34,0,22,15,8,24,43,133,0,186
2002,D,10,14,33,102,0,34,0,22,15,8,24,43,133,0,187
2003,AN,10,16,30,106,2,25,0,22,18,8,23,43,138,0,184
2004,BN,15,0,0,157,0,0,0,0,0,0,0,54,309,0,87 
2005,AN,15,0,0,157,0,0,0,0,0,0,0,54,309,0,87 
2006,W,15,0,0,157,0,0,0,0,0,0,0,54,309,0,87 
2007,D,15,0,0,157,0,0,0,0,0,0,0,54,309,0,87 
2008,C,14,0,65,92,0,0,0,0,0,0,0,54,309,0,87
2009,D,14,0,130,27,0,0,0,0,0,0,0,54,309,0,88
2010,BN,14,0,130,27,0,0,0,0,0,0,0,54,309,0,88
2011,W,14,0,130,27,0,0,0,0,0,0,0,54,309,0,88
2012,BN,0,140,0,42,0,0,0,0,0,0,0,126,227,0,88
2013,D,0,140,0,42,0,0,0,0,0,0,0,126,227,0,88
2014,C,0,140,0,42,0,0,0,0,0,0,0,126,227,0,88
2015,C,0,140,0,42,0,0,0,0,0,0,0,126,227,0,88
2016,BN,0,0,0,182,0,0,0,0,0,0,0,122,227,0,92
2017,W,0,0,0,40,0,0,0,0,0,0,0,113,370,0,100
2018,BN,0,0,0,40,0,0,0,0,0,0,0,113,370,0,100
2019,W,0,0,0,40,0,0,0,0,0,0,0,113,370,0,100
2020,AN,0,0,0,40,0,0,0,0,0,0,0,113,370,0,100
