DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1923,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1924,C,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1925,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1926,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1927,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1928,AN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1929,C,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1930,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1931,C,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1932,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1933,C,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1934,C,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1935,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1936,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1937,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1938,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1939,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1940,AN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1941,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1942,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1943,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1944,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1945,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1946,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1947,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1948,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1949,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1950,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1951,AN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1952,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1953,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1954,AN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1955,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1956,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1957,AN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1958,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1959,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1960,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1961,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1962,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1963,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1964,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1965,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1966,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1967,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1968,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1969,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1970,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1971,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1972,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1973,AN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1974,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1975,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1976,C,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1977,C,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1978,AN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1979,BN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1980,AN,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1981,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1982,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1983,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1984,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1985,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1986,W,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1987,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1988,C,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
1989,D,0,0,79,1439,0,0,201,338,0,0,0,33,657,0,186
