DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,AN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1923,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1924,C,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1925,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1926,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1927,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1928,AN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1929,C,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1930,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1931,C,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1932,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1933,C,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1934,C,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1935,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1936,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1937,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1938,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1939,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1940,AN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1941,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1942,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1943,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1944,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1945,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1946,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1947,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1948,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1949,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1950,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1951,AN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1952,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1953,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1954,AN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1955,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1956,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1957,AN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1958,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1959,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1960,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1961,D,23,0,0,376,0,119,0,1575,0,0,37,118,181,0,216
1962,BN,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
1963,W,16,0,0,1274,0,345,0,444,0,0,0,112,216,0,239
