DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W
number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1922,AN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1923,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1924,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1925,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1926,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1927,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1928,AN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1929,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1930,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1931,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1932,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1933,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1934,C,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1935,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1936,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1937,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1938,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1939,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1940,AN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1941,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1942,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1943,W,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1944,D,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1945,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
1946,BN,34,0,0,0,0,0,0,0,0,0,0,275,28,0,32,1124
