SubArea,Davis,Stockton,Lodi,Tracy_Carbona,Concord,Brentwood,Galt,ETo Correction Factor,REGION,REGION
1,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
2,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
3,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
4,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
5,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
6,0,0,0,0,0.75,0.25,0,0.86,1,Uplands
7,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
8,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
9,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
10,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
11,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
12,0,0,0,0,0.75,0.25,0,0.86,1,Uplands
13,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
14,0,0,0,0,0.75,0.25,0,0.86,0,Lowlands
15,0,0,0,0,0.75,0.25,0,0.86,1,Uplands
