MONTHLY DELTA ISLAND DRAINAGE RETURN CONCENTRATIONS IN MG/L
BASED ON DWR BULLETIN 123 REGIONS (NORTH, SOUTHEAST, WEST)     - KG 09/14/89
 ISLAND  OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP 

    1    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
    2    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
    3    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
    4    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
    5    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
    6    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
    7    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
    8    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
    9    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   10    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   11    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   12    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   13    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   14    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
   15    575.    485.    796.    892.   1051.   1051.    962.    649.    452.    557.    672.    540.
