SubArea,Davis,Stockton,Lodi,Tracy_Carbona,Rio Vista,Brentwood,Galt,ETo Corection Factor,REGION,REGION
1,0,0.5939,0,0.4061,0,0,0,1.01363,0,Lowlands
2,0,0.3628,0,0.4775,0,0.1597,0,1.03911,0,Lowlands
3,0,0,0,0,1,0,0,0.994821,0,Lowlands
4,0,0,0,1,0,0,0,0.99042,1,Uplands
5,0.0267,0,0,0,0.3947,0,0.5786,0.901491,0,Lowlands
6,0.9428,0,0,0,0,0,0.0572,0.898839,0,Lowlands
7,0,0,0,0,1,0,0,1.05468,0,Lowlands
8,0,0,0,0,1,0,0,1.07799,0,Lowlands
9,0,0,0,0,0,0,1,0.8305,0,Lowlands
10,0,0,0,0,1,0,0,0.982798,0,Lowlands
11,0,1,0,0,0,0,0,0.882488,0,Lowlands
12,0,1,0,0,0,0,0,0.820928,0,Lowlands
13,0,0,0,0,1,0,0,1.03908,0,Lowlands
14,0,0,0,0,1,0,0,1.03445,0,Lowlands
15,0,1,0,0,0,0,0,0.948185,0,Lowlands
16,0,0,0,0,1,0,0,1.0749,0,Lowlands
17,0,0,0,0,1,0,0,1.07858,1,Uplands
18,0,0.4963,0,0.5037,0,0,0,0.977793,0,Lowlands
19,0,0.1997,0.7471,0,0.0532,0,0,0.899747,0,Lowlands
20,0,0,0,0,0.6882,0,0.3118,0.915694,0,Lowlands
21,0,0,0,0,0.4791,0,0.5209,0.907011,0,Lowlands
22,0,0,0,0,1,0,0,0.962062,0,Lowlands
23,0,0,0,0,1,0,0,0.989563,0,Lowlands
24,1,0,0,0,0,0,0,0.89807,0,Lowlands
25,0,1,0,0,0,0,0,0.958752,0,Lowlands
26,0.1619,0,0,0,0,0,0.8381,0.9,0,Lowlands
27,0,0,0,0,0,0,1,0.879482,0,Lowlands
28,0,0,0,0,0.9696,0,0.0304,0.91245,0,Lowlands
29,0,0.0491,0,0,0.9509,0,0,1.01095,0,Lowlands
30,1,0,0,0,0,0,0,0.893306,0,Lowlands
31,0,0,0,0.967,0,0.033,0,1.04227,0,Lowlands
32,0,0,0,0,0.1157,0.8843,0,1.0494,0,Lowlands
33,0,0,0,0,0,1,0,1.03673,0,Lowlands
34,0,0,0,0,0,1,0,1.02899,0,Lowlands
35,0,0,0,0,0,0,1,0.884435,0,Lowlands
36,0,1,0,0,0,0,0,0.818116,1,Uplands
37,0,0,0,0,1,0,0,1.05757,0,Lowlands
38,1,0,0,0,0,0,0,0.890709,0,Lowlands
39,0.5558,0,0,0,0.4442,0,0,0.94922,0,Lowlands
