Acreage,   Planted by crop and year,,,,BD = begin date ED = end date;  IF = irrig. freq. init. growth;  Kc1 = init. growth Kc;  Kc2 = midseason Kc;  Kc3 = end season Kc,,,,,,,,,,,
A x,,,,,,,,,,,,,,,,
0.4046873,,,,,,,,,,,,,,,,
These are values for Critical Years,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DICU,,,Irrig,,,,Irrig,,Truck,,,,Riparian,Native,Non-irrig,Water
Crop,,Urban,Pasture,Alfalfa,Field,Sugarbeet,Grains,Rice,Crops,Tomato,Orchard,Vineyard,Vegetation,Vegetation,Grain,Surfaces
Code,Type,UR ,PA,AL ,Fl,SB,GR,RI,TR,TO,OR ,VI,RV,NV,DG,WS
Number,#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Type,,3,2,2,1,1,1,1,1,1,3,3,3,3,1,2
BD,,1-Jan,1-Jan,14-Apr,28-Apr,14-Mar,31-Oct,14-May,28-Jan,31-Mar,30-Mar,31-Mar,1-Jan,1-Jan,31-Oct,1-Jan
ED,,31-Dec,31-Dec,30-Oct,29-Sep,29-Sep,30-May,29-Sep,3-Dec,30-Aug,13-Nov,31-Oct,31-Dec,31-Dec,31-May,31-Dec
BD,,1,1,105,119,74,305,135,29,91,90,91,1,1,305,1
ED,,366,366,304,273,273,516,273,339,243,318,305,366,366,517,366
F,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Kc1,,0.59,0.75,0.77,0.21,0.2,0.33,1.2,0.37,0.3,0.55,0.45,0.8,1,0.33,1.1
Kc2,,0.35,0.75,0.77,0.9,0.8,1.1,0.8,0.6,0.7,0.75,0.45,0.85,0.5,0.9,1.1
Kc3,,0.59,0.75,0.77,0.57,0.95,0.15,0.8,0.38,0.65,0.8,0.35,0.8,1,0.15,1.1
a-b,,0,0,0,19,15,20,22,14,25,0,0,0,0,20,0
a-c,,33,33,33,44,45,45,37,31,50,49,25,33,33,45,33
a-d,,67,67,67,76,80,75,86,92,80,75,75,67,67,75,67
SDx,,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524
RDx_Lo,,400,610,1219,610,1219,610,305,1219,1219,1524,1219,1524,762,610,1524
RDx_Up,,400,610,1829,1219,1524,1219,610,1524,1524,1829,1524,1524,610,610,1524
AW_Lo,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
AW_Up,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
AD %,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
GCB,,,,,,,,,,,,,,,,
GCC,,,,,,,,,,,,,,,,
GCD,,,,,,,,,,,,,,,,
BC1,,,,,,,,,,,,,,,,
EC1,,,,,,,,,,,,,,,,
BC2,,,,,,,,,,,,,,,,
EC2,,,,,,,,,,,,,,,,
