area_id,node,factor
1,227,0.2000
1,238,0.2000
1,329,0.2000
1,363,0.2000
1,366,0.2000
2,227,0.1111
2,238,0.1111
2,328,0.1111
2,356,0.1111
2,357,0.1111
2,363,0.1111
2,417,0.1111
2,464,0.1111
2,465,0.1111
3,228,0.1111
3,327,0.1111
3,364,0.1111
3,418,0.1111
3,420,0.1111
3,421,0.1111
3,422,0.1111
3,425,0.1111
3,428,0.1111
4,403,0.1000
4,406,0.1000
4,408,0.1000
4,409,0.1000
4,410,0.1000
4,412,0.1000
4,417,0.1000
4,418,0.1000
4,420,0.1000
4,421,0.1000
5,403,0.1667
5,406,0.1667
5,409,0.1667
5,413,0.1667
5,421,0.1667
5,422,0.1667
6,371,0.1000
6,372,0.1000
6,373,0.1000
6,395,0.1000
6,398,0.1000
6,399,0.1000
6,403,0.1000
6,404,0.1000
6,405,0.1000
6,425,0.1000
7,364,0.0833
7,373,0.0833
7,374,0.0833
7,375,0.0833
7,376,0.0833
7,377,0.0833
7,378,0.0833
7,398,0.0833
7,399,0.0833
7,425,0.0833
7,428,0.0833
7,445,0.0833
8,368,0.2000
8,371,0.2000
8,395,0.2000
8,404,0.2000
8,405,0.2000
9,371,0.0588
9,372,0.0588
9,373,0.0588
9,374,0.0588
9,375,0.0588
9,376,0.0588
9,377,0.0588
9,386,0.0588
9,387,0.0588
9,388,0.0588
9,392,0.0588
9,393,0.0588
9,394,0.0588
9,400,0.0588
9,442,0.0588
9,443,0.0588
9,445,0.0588
10,387,0.2000
10,388,0.2000
10,389,0.2000
10,390,0.2000
10,396,0.2000
11,379,0.1250
11,380,0.1250
11,381,0.1250
11,382,0.1250
11,389,0.1250
11,390,0.1250
11,391,0.1250
11,443,0.1250
12,384,0.5000
12,385,0.5000
13,365,0.1111
13,367,0.1111
13,377,0.1111
13,378,0.1111
13,384,0.1111
13,385,0.1111
13,440,0.1111
13,442,0.1111
13,444,0.1111
14,227,0.0428
14,228,0.0428
14,238,0.0428
14,328,0.0428
14,329,0.0428
14,356,0.0428
14,357,0.0428
14,358,0.0428
14,359,0.0428
14,360,0.0428
14,362,0.0428
14,363,0.0428
14,364,0.0428
14,365,0.0428
14,366,0.0856
14,367,0.0428
14,371,0.0059
14,372,0.0059
14,373,0.0059
14,374,0.0059
14,375,0.0059
14,376,0.0059
14,377,0.0059
14,378,0.0059
14,406,0.0059
14,409,0.0059
14,417,0.0059
14,418,0.0059
14,420,0.0059
14,421,0.0059
14,422,0.0059
14,425,0.0059
14,428,0.0059
14,463,0.0428
14,464,0.0428
14,465,0.0428
14,466,0.0428
15,408,0.2000
15,412,0.2000
15,420,0.2000
15,464,0.4000
