year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1922,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1923,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1924,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1925,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1926,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1927,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1928,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1929,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1930,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1931,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1932,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1933,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1934,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1935,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1936,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1937,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1938,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1939,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1940,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1941,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1942,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1943,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1944,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1945,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1946,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.0
1947,0.35,0.35,0.35,0.35,0.35,0.01,0.35,0.35,0.35,0.35,0.35,0.01,0.35,0.35,0.01
1948,0.35,0.35,0.35,0.35,0.35,0.01,0.35,0.35,0.35,0.35,0.35,0.01,0.35,0.35,0.01
1949,0.35,0.35,0.35,0.35,0.35,0.01,0.35,0.35,0.35,0.35,0.35,0.01,0.35,0.35,0.01
1950,0.35,0.35,0.35,0.35,0.35,0.02,0.35,0.35,0.35,0.35,0.35,0.02,0.35,0.35,0.02
1951,0.35,0.35,0.35,0.35,0.35,0.03,0.35,0.35,0.35,0.35,0.35,0.03,0.35,0.35,0.03
1952,0.35,0.35,0.35,0.35,0.35,0.03,0.35,0.35,0.35,0.35,0.35,0.03,0.35,0.35,0.03
1953,0.35,0.35,0.35,0.35,0.35,0.04,0.35,0.35,0.35,0.35,0.35,0.04,0.35,0.35,0.04
1954,0.35,0.35,0.35,0.35,0.35,0.05,0.35,0.35,0.35,0.35,0.35,0.05,0.35,0.35,0.05
1955,0.35,0.35,0.35,0.35,0.35,0.06,0.35,0.35,0.35,0.35,0.35,0.06,0.35,0.35,0.06
1956,0.35,0.35,0.35,0.35,0.35,0.07,0.35,0.35,0.35,0.35,0.35,0.07,0.35,0.35,0.07
1957,0.35,0.35,0.35,0.35,0.35,0.08,0.35,0.35,0.35,0.35,0.35,0.08,0.35,0.35,0.08
1958,0.35,0.35,0.35,0.35,0.35,0.09,0.35,0.35,0.35,0.35,0.35,0.09,0.35,0.35,0.09
1959,0.35,0.35,0.35,0.35,0.35,0.09,0.35,0.35,0.35,0.35,0.35,0.09,0.35,0.35,0.09
1960,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.1
1961,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.1
1962,0.35,0.35,0.35,0.35,0.35,0.11,0.35,0.35,0.35,0.35,0.35,0.11,0.35,0.35,0.11
1963,0.35,0.35,0.35,0.35,0.35,0.11,0.35,0.35,0.35,0.35,0.35,0.11,0.35,0.35,0.11
1964,0.35,0.35,0.35,0.35,0.35,0.11,0.35,0.35,0.35,0.35,0.35,0.11,0.35,0.35,0.11
1965,0.35,0.35,0.35,0.35,0.35,0.12,0.35,0.35,0.35,0.35,0.35,0.12,0.35,0.35,0.12
1966,0.35,0.35,0.35,0.35,0.35,0.12,0.35,0.35,0.35,0.35,0.35,0.12,0.35,0.35,0.12
1967,0.35,0.35,0.35,0.35,0.35,0.13,0.35,0.35,0.35,0.35,0.35,0.13,0.35,0.35,0.13
1968,0.35,0.35,0.35,0.35,0.35,0.13,0.35,0.35,0.35,0.35,0.35,0.13,0.35,0.35,0.13
1969,0.35,0.35,0.35,0.35,0.35,0.13,0.35,0.35,0.35,0.35,0.35,0.13,0.35,0.35,0.13
1970,0.35,0.35,0.35,0.35,0.35,0.14,0.35,0.35,0.35,0.35,0.35,0.14,0.35,0.35,0.14
1971,0.35,0.35,0.35,0.35,0.35,0.14,0.35,0.35,0.35,0.35,0.35,0.14,0.35,0.35,0.14
1972,0.35,0.35,0.35,0.35,0.35,0.15,0.35,0.35,0.35,0.35,0.35,0.15,0.35,0.35,0.15
1973,0.35,0.35,0.35,0.35,0.35,0.15,0.35,0.35,0.35,0.35,0.35,0.15,0.35,0.35,0.15
1974,0.35,0.35,0.35,0.35,0.35,0.16,0.35,0.35,0.35,0.35,0.35,0.16,0.35,0.35,0.16
1975,0.35,0.35,0.35,0.35,0.35,0.16,0.35,0.35,0.35,0.35,0.35,0.16,0.35,0.35,0.16
1976,0.35,0.35,0.35,0.35,0.35,0.17,0.35,0.35,0.35,0.35,0.35,0.17,0.35,0.35,0.17
1977,0.35,0.35,0.35,0.35,0.35,0.19,0.35,0.35,0.35,0.35,0.35,0.19,0.35,0.35,0.19
1978,0.35,0.35,0.35,0.35,0.35,0.2,0.35,0.35,0.35,0.35,0.35,0.2,0.35,0.35,0.2
1979,0.35,0.35,0.35,0.35,0.35,0.21,0.35,0.35,0.35,0.35,0.35,0.21,0.35,0.35,0.21
1980,0.35,0.35,0.35,0.35,0.35,0.22,0.35,0.35,0.35,0.35,0.35,0.22,0.35,0.35,0.22
1981,0.35,0.35,0.35,0.35,0.35,0.22,0.35,0.35,0.35,0.35,0.35,0.22,0.35,0.35,0.22
1982,0.35,0.35,0.35,0.35,0.35,0.23,0.35,0.35,0.35,0.35,0.35,0.23,0.35,0.35,0.23
1983,0.35,0.35,0.35,0.35,0.35,0.23,0.35,0.35,0.35,0.35,0.35,0.23,0.35,0.35,0.23
1984,0.35,0.35,0.35,0.35,0.35,0.24,0.35,0.35,0.35,0.35,0.35,0.24,0.35,0.35,0.24
1985,0.35,0.35,0.35,0.35,0.35,0.24,0.35,0.35,0.35,0.35,0.35,0.24,0.35,0.35,0.24
1986,0.35,0.35,0.35,0.35,0.35,0.25,0.35,0.35,0.35,0.35,0.35,0.25,0.35,0.35,0.25
1987,0.35,0.35,0.35,0.35,0.35,0.25,0.35,0.35,0.35,0.35,0.35,0.25,0.35,0.35,0.25
1988,0.35,0.35,0.35,0.35,0.35,0.26,0.35,0.35,0.35,0.35,0.35,0.26,0.35,0.35,0.26
1989,0.35,0.35,0.35,0.35,0.35,0.27,0.35,0.35,0.35,0.35,0.35,0.27,0.35,0.35,0.27
1990,0.35,0.35,0.35,0.35,0.35,0.27,0.35,0.35,0.35,0.35,0.35,0.27,0.35,0.35,0.27
1991,0.35,0.35,0.35,0.35,0.35,0.28,0.35,0.35,0.35,0.35,0.35,0.28,0.35,0.35,0.28
1992,0.35,0.35,0.35,0.35,0.35,0.29,0.35,0.35,0.35,0.35,0.35,0.29,0.35,0.35,0.29
1993,0.35,0.35,0.35,0.35,0.35,0.3,0.35,0.35,0.35,0.35,0.35,0.3,0.35,0.35,0.3
1994,0.35,0.35,0.35,0.35,0.35,0.31,0.35,0.35,0.35,0.35,0.35,0.31,0.35,0.35,0.31
1995,0.35,0.35,0.35,0.35,0.35,0.32,0.35,0.35,0.35,0.35,0.35,0.32,0.35,0.35,0.32
1996,0.35,0.35,0.35,0.35,0.35,0.33,0.35,0.35,0.35,0.35,0.35,0.33,0.35,0.35,0.33
1997,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.34
1998,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.34
1999,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
2000,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
2001,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.36
2002,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.36
2003,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.35,0.37
2004,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.35,0.37
