area_id,DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
1,1922,AN,150,28,141.9,393,54,323,0,604,0,83,0,86,432,0,342
1,1923,BN,150,33,141.9,398,59,303,0,536,0,87,0,84,514,0,333
1,1924,C,150,7,162.8,343,66,383,0,490,0,86,0,83,536,0,330
1,1925,D,150,33,135.9,331,52,349,0,483,0,68,0,81,633,0,322
1,1926,D,150,26,136.9,407,24,320,0,515,0,95,0,83,552,0,329
1,1927,W,150,17,137.9,402,45,314,0,494,0,92,0,82,578,0,326
1,1928,AN,150,40,140.9,424,46,298,0,531,0,84,0,84,508,0,333
1,1929,C,150,17,141.9,394,67,315,0,569,0,80,0,85,484,0,336
1,1930,D,150,48,140.9,450,75,302,0,620,0,77,0,90,326,0,358
1,1931,C,150,80,140.9,431,96,270,0,588,0,58,0,88,389,0,348
1,1932,D,150,80,143.9,409,98,284,0,586,0,54,0,87,400,0,347
1,1933,C,150,79,146.9,386,100,299,0,583,0,50,0,87,411,0,345
1,1934,C,150,79,150.8,363,102,313,0,581,0,47,0,87,422,0,344
1,1935,BN,150,79,152.8,341,105,328,0,578,0,43,0,86,434,0,342
1,1936,BN,150,79,156.8,318,107,343,0,575,0,39,0,86,443,0,341
1,1937,BN,150,78,159.8,296,110,357,0,573,0,36,0,86,453,0,340
1,1938,W,150,78,163.8,273,112,372,0,570,0,33,0,85,462,0,339
1,1939,D,150,85,162.8,266,110,384,0,570,0,32,0,86,453,0,340
1,1940,AN,150,92,161.8,258,108,396,0,570,0,32,0,86,444,0,341
1,1941,W,150,98,159.8,252,105,408,0,569,0,32,0,86,436,0,342
1,1942,W,150,106,157.8,244,103,420,0,569,0,31,0,86,429,0,343
1,1943,W,150,113,156.8,236,101,432,0,568,0,31,0,87,419,0,344
1,1944,D,150,120,154.8,229,98,444,0,568,0,31,0,87,412,0,345
1,1945,BN,150,127,153.8,221,96,456,0,568,30,30,0,89,364,0,352
1,1946,BN,150,135,152.8,214,94,468,0,567,46,30,0,90,335,0,356
1,1947,D,150,142,151.8,207,92,480,0,567,61,29,0,91,305,0,361
1,1948,BN,150,149,150.8,200,90,493,0,567,76,29,0,92,275,0,367
1,1949,D,150,148,153.8,227,90,469,1,555,83,29,0,92,274,0,367
1,1950,BN,150,147,158.8,253,91,446,1,544,90,29,0,93,269,0,368
1,1951,AN,150,147,162.8,279,91,423,1,533,96,28,0,93,266,0,369
1,1952,W,150,146,167.8,306,92,400,1,522,103,28,0,93,260,0,370
1,1953,W,150,145,171.8,332,93,377,1,512,110,27,0,93,255,0,371
1,1954,AN,150,145,175.8,359,93,353,1,501,117,27,0,93,251,0,371
1,1955,D,150,145,180.8,385,94,330,1,490,124,27,1,94,245,0,373
1,1956,W,150,139,180.8,402,96,324,1,481,126,28,1,94,244,0,373
1,1957,AN,150,134,179.8,418,97,318,1,473,127,29,1,94,242,0,373
1,1958,W,150,129,179.8,435,99,313,1,465,128,31,1,94,237,0,374
1,1959,BN,150,124,178.8,452,101,307,1,458,129,32,0,94,236,0,374
1,1960,D,150,120,178.8,469,103,301,1,450,131,33,0,94,234,0,375
1,1961,D,150,114,178.8,486,105,311,1,442,133,35,0,96,208,0,380
1,1962,BN,154,114,177.8,495,102,320,1,420,131,36,0,95,216,0,377
1,1963,W,158,114,177.8,504,98,329,1,401,129,37,0,94,222,0,373
1,1964,D,163,114,176.8,514,94,339,0,381,128,38,1,93,226,0,371
1,1965,W,165,114,176.8,523,90,348,0,362,126,39,1,93,231,0,369
1,1966,BN,169,114,175.8,533,87,358,0,341,124,40,2,92,235,0,366
1,1967,W,174,114,175.8,542,83,367,0,322,123,41,3,92,239,0,364
1,1968,BN,178,113,175.8,551,79,377,0,302,121,42,3,91,245,0,361
