area_id,name,uplow,acreage,docregion
1,UNION ISLAND  (EAST),low,11853.0,Lower
2,UNION ISLAND  (WEST),low,13711.0,Lower
3,GRAND ISLAND,low,16901.0,Midrange
4,MOSSDALE,up,403.0,Lower
5,MERRITT ISLAND,low,4909.0,Lower
6,LISBON DISTRICT,low,5949.0,Lower
7,ANDRUS ISLAND (LOWER),low,3545.0,Midrange
8,SHERMAN ISLAND,low,10455.0,High
9,NEW HOPE TRACT,low,9913.0,Midrange
10,SUTTER ISLAND,low,2620.0,Lower
11,ROUGH AND READY,low,1464.0,Midrange
12,MOSS TRACT  (BOGGS),low,2936.0,Midrange
13,ANDRUS ISLAND (MIDDLE),low,1892.0,Midrange
14,RYER ISLAND,low,11976.0,Midrange
15,ROBERTS ISLAND  (MIDDLE),low,11986.0,Midrange
16,EGBERT TRACT,low,5618.0,High
17,EGBERT TRACT,up,89.0,High
18,ROBERTS ISLAND  (UPPER),low,7607.0,Midrange
19,TERMINOUS TRACT,low,11201.0,High
20,PIERSON DISTRICT,low,9216.0,Midrange
21,WALNUT GROVE,low,508.0,Midrange
22,ANDRUS ISLAND (UPPER),low,2574.0,Midrange
23,TYLER ISLAND,low,8939.0,Midrange
24,POCKET DISTRICT,low,3516.0,Lower
25,ROBERTS ISLAND  (LOWER),low,11308.0,Midrange
26,SCRIBNER,low,1612.0,Lower
27,HOOD JUNCTION,low,113.0,Midrange
28,RANDALL ISLAND,low,393.0,Midrange
29,BOULDIN ISLAND,low,6682.0,High
30,GLIDE DISTRICT,low,1346.0,Lower
31,EL PESCADERO,low,7194.0,Lower
32,HOTCHKISS TRACT,low,3345.0,High
33,BRYON TRACT,low,6516.369880653744,High
34,CLIFTON COURT,low,3855.0,High
35,INACTIVE,low,2247.0,Midrange
36,WEBER TRACT,up,1056.0,Lower
37,JERSEY ISLAND,low,3571.0,High
38,WEST SACRAMENTO,low,11950.0,Lower
39,NETHERLANDS (COUNTIES 48 & 57),low,26173.0,Lower
40,UNNAMED,low,6746.0,Midrange
41,PICO AND NAGLEE,up,11109.77819505678,Lower
42,TWITCHELL ISLAND,low,3694.0,High
43,SMITH RANCH,low,1038.0,High
44,PRIVATELY OWNED,up,1782.0,Midrange
45,SMITH TRACT,up,2048.0,Lower
46,PROSPECT ISLAND,low,2503.0,Midrange
47,MILDRED ISLAND,low,1608.0,Midrange
48,VENICE ISLAND,low,4396.0,High
49,ORWOOD TRACT,low,2314.0,High
50,HOLLAND TRACT,low,4311.0,High
