area_id,name,uplow,acreage,docregion
1, Suisun_Marsh_sub_1, low, 1236, High
2, Suisun_Marsh_sub_2, low, 8085, High
3, Suisun_Marsh_sub_3, low, 20054, High
4, Suisun_Marsh_sub_4, low, 6535, High
5, Suisun_Marsh_sub_5, low, 2384, High
6, Suisun_Marsh_sub_6, up, 8793, High
7, Suisun_Marsh_sub_7, low, 3777, High
8, Suisun_Marsh_sub_8, low, 1892, High
9, Suisun_Marsh_sub_9, low, 6793, High
10, Suisun_Marsh_sub_10, low, 3307, High
11, Suisun_Marsh_sub_11, low, 5427, High
12, Suisun_Marsh_sub_12, up, 4777, High
13, Suisun_Marsh_sub_13, low, 3688, High
14, Suisun_Marsh_sub_14, low, 31145, High
15, Suisun_Marsh_sub_15, up, 6349, High
